id,gene,log2FC,pval,n_group1,n_group2,padj,neglog10_padj
P68254,Ywhaq,0.206666666666667,0.5559945474416397,3,3,0.731601301578101,0.1357255305497976
Q9R0P3,Esd,0.5933333333333337,0.5583916840291216,3,3,0.7325379838772381,0.1351698511641673
Q9QZQ8,H2afy,0.2033333333333331,0.5581643828664682,3,3,0.7325379838772381,0.1351698511641673
P62806,Hist1h4a,-0.1766666666666694,0.5581410568808503,3,3,0.7325379838772381,0.1351698511641673
Q9DBL1,Acadsb,-0.2000000000000028,0.5628968650064319,3,3,0.7377060421792836,0.1321166594393088
Q8K021,Scamp1,0.509999999999998,0.5640842491637574,2,2,0.7385199406722286,0.1316377738699763
Q9EQP2,Ehd4,-0.1933333333333315,0.566534332642144,3,3,0.7402712296172151,0.1306091289931674
P70663,Sparcl1,-0.9016666666666656,0.5665572754278994,2,3,0.7402712296172151,0.1306091289931674
Q9WU28,Pfdn5,0.4999999999999982,0.5678052101030873,2,2,0.7404211571960693,0.130521179975554
Q9D6J6,Ndufv2,-0.3733333333333348,0.5685002780844891,3,3,0.7404211571960693,0.130521179975554
P11531,Dmd,-0.2699999999999978,0.5689432511583293,3,3,0.7404211571960693,0.130521179975554
P62835,Rap1a,-0.8166666666666664,0.5688457116090732,3,3,0.7404211571960693,0.130521179975554
P23198,Cbx3,0.5466666666666669,0.5709036852766723,3,3,0.7414924358573514,0.1298932749554487
P26231,Ctnna1,-0.1666666666666607,0.5705168586020519,3,3,0.7414924358573514,0.1298932749554487
Q9Z2I8,Suclg2,-0.2300000000000004,0.5717876988543769,3,3,0.7419016510508532,0.1296536624256085
Q3UW53,Fam129a,1.1799999999999995,0.5750146888201124,3,2,0.7452217167862437,0.1277144976525987
Q8R146,Apeh,-0.3133333333333343,0.5754894699415241,3,3,0.7452217167862437,0.1277144976525987
P10852,Slc3a2,0.2733333333333334,0.5766508693165092,3,3,0.7452455238738633,0.1277006237659379
P55258,Rab8a,0.3766666666666687,0.5764010583824767,3,3,0.7452455238738633,0.1277006237659379
Q8JZU2,Slc25a1,0.2633333333333389,0.5777800000186044,3,2,0.7459654653705546,0.1272812778171029
Q9D0F3,Lman1,0.2550000000000025,0.5786615308270076,3,2,0.7463646253198989,0.1270489525847533
