id,gene,log2FC,pval,n_group1,n_group2,group1,group2,padj,neglog10_padj
P52479-2,Usp10,0.1251293546819107,0.8566834236979249,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q7TPB0,Lppr3,0.0710170213485748,0.8382365164032699,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
A0A0A6YW36,Rgs7,0.0377460213485782,0.8526456385346508,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8C8R3-4,Ank2,-0.0806456453180892,0.8365921419345663,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8BGQ1,Vipas39,0.1374190213485757,0.8484740360194851,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9CRA9,Fgfr1op2,0.0865330213485782,0.8518303457384339,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
E9PUD2,Dnm1l,-0.0417786453180877,0.8429905076847287,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P55302,Lrpap1,0.0738040213485771,0.8578328229298193,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9CY50,Ssr1,0.0966403546819076,0.8355022220663156,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
D3Z080,Sorbs2,-0.1213216453180896,0.8326491293566777,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P57759,Erp29,-0.0829616453180879,0.8542688617226374,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9EPU0,Upf1,-0.0281009786514223,0.8590753734367174,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
E9Q9B7,Kidins220,0.037013688015242,0.8567888415955329,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
V9GX34,Csmd2,-0.0771629786514207,0.8334795330911694,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
E9Q8Z8,Ctnnd1,-0.0988353119847573,0.8365217744207336,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P70698,Ctps1,-0.103133645318092,0.8512431741235441,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9D6G9,Cmtm5,0.0703886880152442,0.8576083017106775,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
